"ID";"EDU_NAME";"global_id";"YEAR";"AdmArea";"District";"PASSES_OVER_220";"PASSER_UNDER_160";
"9958";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1376»";"1011905294";"2018-2019";"Западный административный округ";"район Ново-Переделкино";"33";"55";
"9959";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1596»";"1011905295";"2018-2019";"Западный административный округ";"район Ново-Переделкино";"20";"44";
"9960";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 74»";"1011905296";"2018-2019";"Западный административный округ";"район Раменки";"3";"4";
"9961";"Общеобразовательное частное учреждение «Новая гуманитарная школа»";"1011905297";"2018-2019";"Северный административный округ";"район Аэропорт";"13";"13";
"9962";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 717»";"1011905298";"2018-2019";"Северный административный округ";"Войковский район";"12";"36";
"9963";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 имени Героя Советского Союза Е.Г. Ларикова»";"1011905299";"2018-2019";"Северный административный округ";"Войковский район";"36";"112";
"9964";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 222»";"1011905300";"2018-2019";"Северный административный округ";"район Восточное Дегунино";"17";"53";
"9965";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1249»";"1011905301";"2018-2019";"Северный административный округ";"район Сокол";"24";"31";
"9966";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 763»";"1011905302";"2018-2019";"Северо-Восточный административный округ";"Лосиноостровский район";"30";"83";
"9967";"Государственное автономное общеобразовательное учреждение города Москвы «Школа «ШИК 16»";"1011905303";"2018-2019";"Северо-Восточный административный округ";"Останкинский район";"23";"37";
"9968";"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1374»";"1011905304";"2018-2019";"Северо-Восточный административный округ";"Ярославский район";"21";"52";
"9969";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1538»";"1011905305";"2018-2019";"Северо-Западный административный округ";"район Митино";"91";"177";
"9970";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1564 имени Героя Советского Союза А.П. Белобородова»";"1011905306";"2018-2019";"Северо-Западный административный округ";"район Митино";"78";"134";
"9971";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»";"1011905307";"2018-2019";"Центральный административный округ";"Басманный район";"17";"33";
"9972";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 354 имени Д.М. Карбышева»";"1011905308";"2018-2019";"Центральный административный округ";"Басманный район";"45";"101";
"9973";"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет» Высшая школа экономики». лицей Национального исследовательского университета» Высшая школа экономики»";"1011905309";"2018-2019";"Центральный административный округ";"Басманный район";"626";"682";
"9974";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 315»";"1011905310";"2018-2019";"Центральный административный округ";"Красносельский район";"45";"64";
"9975";"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гуманитарный университет»";"1011905311";"2018-2019";"Центральный административный округ";"Тверской район";"30";"48";
"9976";"Государственное автономное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс имени Виктора Талалихина»";"1011905312";"2018-2019";"Юго-Восточный административный округ";"район Печатники";"5";"34";
"9977";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 654 имени А.Д. Фридмана»";"1011905313";"2018-2019";"Юго-Восточный административный округ";"район Текстильщики";"82";"145";
"9978";"Автономная некоммерческая организация «Общеобразовательная организация Учебный центр «Наука-Сервис»";"1011905314";"2018-2019";"Юго-Восточный административный округ";"Южнопортовый район";"0";"1";
"9979";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2042 имени Лазаревых»";"1011905315";"2018-2019";"Юго-Западный административный округ";"район Зюзино";"23";"42";
"9980";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 7»";"1011905316";"2018-2019";"Юго-Западный административный округ";"Ломоносовский район";"40";"69";
"9981";"Частное учреждение средняя общеобразовательная школа «Славянско-англо-американская школа «Марина»";"1011905317";"2018-2019";"Юго-Западный административный округ";"Ломоносовский район";"11";"11";
"9982";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 15»";"1011905318";"2018-2019";"Юго-Западный административный округ";"район Черёмушки";"36";"91";
"9983";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1561»";"1011905319";"2018-2019";"Юго-Западный административный округ";"район Ясенево";"62";"121";
"9984";"федеральное государственное бюджетное образовательное учреждение высшего образования «Московский педагогический государственный университет « (Лицей МПГУ)";"1011905320";"2018-2019";"Восточный административный округ";"район Перово";"16";"27";
"9985";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1505 «Преображенская»";"1011905321";"2018-2019";"Восточный административный округ";"район Преображенское";"107";"148";
"9986";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1542»";"1011905322";"2018-2019";"Западный административный округ";"район Солнцево";"123";"211";
"9987";"Государственное бюджетное общеобразовательное учреждение «Московская школа на Юго-Западе № 1543»";"1011905323";"2018-2019";"Западный административный округ";"район Тропарёво-Никулино";"70";"74";
"9988";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 14»";"1011905324";"2018-2019";"Западный административный округ";"район Тропарёво-Никулино";"18";"46";
"9989";"Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр «Протон»";"1011905325";"2018-2019";"Западный административный округ";"район Филёвский Парк";"40";"117";
"9990";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»";"1011905326";"2018-2019";"Зеленоградский административный округ";"район Силино";"14";"42";
"9991";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1383»";"1011905327";"2018-2019";"Северный административный округ";"Бескудниковский район";"17";"50";
"9992";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»";"1011905328";"2018-2019";"Северный административный округ";"Бескудниковский район";"27";"58";
"9993";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2100»";"1011905329";"2018-2019";"Северный административный округ";"район Западное Дегунино";"11";"42";
